park_name,緯度,経度,class,VARI,VARI_mean,VARI_std,VARI_min,VARI_max,R_med,G_med,B_med,R_mean,G_mean,B_mean,veg_ratio,n_mask,n_veg,leaf_temp_mean,leaf_temp_min,leaf_temp_max,leaf_temp_median,leaf_temp_std
八王子霊園,35.65992516,139.2609681,危険,0.0422036163508892,0.0554627664387226,0.0331179164350032,-0.0197762250900268,0.1204281821846962,174.0,179.0,156.0,172.96621704101562,178.2830352783203,155.1418914794922,1.0,1332,1332,34.242798699059456,29.442640170229833,36.562385224412175,32.71519539299885,0.6777504964998763
八王子霊園,35.65974489,139.2609694,危険,0.0459459014236927,0.0778389573097229,0.1077180802822113,-0.038145437836647,0.9145042896270752,173.0,179.0,156.0,167.23731994628906,173.1138916015625,152.58779907226562,0.9941563184806428,1369,1361,32.5893796578346,31.81064174027608,37.11204048294464,36.25502969403653,1.091892056988111
八王子霊園,35.65956463,139.2609707,健康,0.2959195673465729,0.4379616379737854,0.3880743384361267,-0.0211102925240993,2.0,110.5,128.0,117.0,108.78472137451172,126.56172943115234,117.54475402832033,1.0,1296,1296,26.956260379926334,20.546631193718746,28.636000820454342,25.878956731646326,0.9421521891962241
八王子霊園,35.66028674,139.2611864,危険,0.0409183427691459,0.0545618422329425,0.0242802556604146,0.0200243294239044,0.1026248261332511,173.0,179.0,154.0,172.91964721679688,178.30606079101562,153.94813537597656,1.0,1369,1369,34.94495979705046,31.761908979425176,34.94495979705046,33.88448126121804,1.8563815979499618
八王子霊園,35.66010647,139.2611877,危険,0.0318702831864357,0.0328984633088111,0.0061927339993417,0.0200243294239044,0.053582452237606,181.0,184.0,163.0,178.9146270751953,182.15493774414065,162.53121948242188,0.9496996996996996,1332,1265,33.63831151347556,30.208158521318463,39.94165139829939,32.06932849033986,1.8871142114998594
八王子霊園,35.65992621,139.261189,危険,0.0378015041351318,0.0362882316112518,0.004685222171247,0.0207033604383468,0.0475888922810554,181.0,185.0,162.0,179.89405822753906,183.53494262695312,161.68594360351562,0.9992492492492492,1332,1331,30.462731258789567,28.461235009199182,38.42256528973715,34.48597831763782,1.9610742804392
八王子霊園,35.65974594,139.2611903,危険,0.0405656844377517,0.097412995994091,0.130438283085823,0.020008323714137,0.8766744136810303,171.0,176.0,154.0,161.86819458007812,168.6756134033203,149.8705596923828,0.9776234567901234,1296,1267,34.85200435882435,28.806908666163775,34.85200435882435,34.85200435882435,1.1805871598002229
八王子霊園,35.66046805,139.261406,健康,0.2205389589071273,0.2238403111696243,0.0605662539601326,0.0183857325464487,0.4268315732479095,122.0,137.0,126.0,123.69320678710938,137.99050903320312,125.14025115966795,1.0,1369,1369,24.393070477819677,24.24565953777093,29.59573749173451,24.24565953777093,1.206156983969302
八王子霊園,35.66028779,139.2614073,危険,0.037205945700407,0.0301977600902318,0.0158841293305158,-0.0106748882681131,0.1005028486251831,181.0,184.0,162.0,179.47718811035156,182.4841461181641,160.92884826660156,0.9976851851851852,1296,1293,34.93658131481709,29.688802734318422,39.418713991925,34.35442767783702,2.15524998616532
八王子霊園,35.66010752,139.2614086,危険,0.038106545805931,0.0360731184482574,0.0050699017010629,0.020008323714137,0.0520838871598243,184.0,187.0,166.0,182.3465576171875,185.9920654296875,164.47740173339844,0.972993827160494,1296,1261,34.730230581335825,28.53558626362721,39.93951567927119,35.893436424907975,1.7878692748703227
八王子霊園,35.65992726,139.2614099,危険,0.0317382737994194,0.0325963832437992,0.0066059031523764,0.020008323714137,0.0550719983875751,181.0,185.0,164.0,180.09201049804688,183.3456573486328,163.098876953125,0.8731231231231231,1332,1163,31.27921838097225,31.27921838097225,36.32626810727017,33.95587460789874,0.8317370182113042
八王子霊園,35.65974699,139.2614112,危険,0.0397133342921733,0.0473517589271068,0.0234580524265766,0.0202633831650018,0.0987420380115509,173.0,177.0,156.0,171.43035888671875,176.04910278320312,154.7035675048828,0.8408408408408409,1332,1120,32.659842855124374,28.03250083160627,39.50117474084067,35.786524769968594,1.170640768345053
八王子霊園,35.65956673,139.2614125,要注意,0.0854712948203086,0.0822205543518066,0.0113151995465159,0.0238254647701978,0.1072007939219474,164.0,173.0,148.0,162.73367309570312,170.33529663085938,148.86280822753906,0.995617238860482,1369,1363,29.74267597228125,29.74267597228125,31.891297538088935,29.74267597228125,0.9608774710466905
八王子霊園,35.65938646,139.2614138,要注意,0.0839493572711944,0.0815645828843116,0.0095198135823011,0.0471990406513214,0.110605202615261,161.0,169.0,147.5,159.31712341308594,166.55091857910156,147.82022094726562,1.0,1296,1296,31.72630121622347,25.938767308283783,34.39385244121459,31.38492508691838,0.9766200299885848
八王子霊園,35.65920619,139.261415,要注意,0.0832089483737945,0.0818852484226226,0.0078785670921206,0.0512397065758705,0.0987420380115509,166.0,174.0,150.0,163.0217742919922,170.5270233154297,150.0750732421875,1.0,1332,1332,29.786107955359146,26.93717253201981,31.38248129633249,29.552126388812546,1.2483556226202865
八王子霊園,35.66082964,139.2616244,危険,0.0459930002689361,0.1108398213982582,0.0933270305395126,-0.0109212771058082,0.5404564142227173,162.0,169.0,149.0,156.73220825195312,165.30667114257812,146.00587463378906,0.995617238860482,1369,1363,32.31403695275795,29.959210534135586,33.88113980333153,29.959210534135586,1.8405991951678653
八王子霊園,35.6604691,139.2616269,要注意,0.0847691744565963,0.1247520968317985,0.0895097106695175,0.0,0.3664107024669647,166.0,173.0,151.0,157.43833923339844,167.0263214111328,147.63082885742188,0.9984984984984984,1332,1330,27.560654442425026,26.37334161922668,34.84193204568704,31.346515325150406,1.4324575407895581
八王子霊園,35.66028884,139.2616282,危険,0.037205945700407,0.0306162182241678,0.0139928255230188,-0.0108227981254458,0.0575971603393554,184.0,187.0,165.0,181.66036987304688,184.7421417236328,163.65408325195312,0.8587962962962963,1296,1113,35.80731561296753,31.436248122291875,40.40918891837846,34.63443313432132,1.5154400374659915
八王子霊園,35.66010857,139.2616295,危険,0.0379534177482128,0.0351794920861721,0.0065578869543969,0.020008323714137,0.0513880886137485,183.0,187.0,164.0,181.6447296142578,185.21603393554688,163.3147735595703,0.8655953250547845,1369,1185,33.463305829016235,30.606227451131303,38.196535960457076,32.514640158111675,1.5946899250448143
八王子霊園,35.65992831,139.2616308,危険,0.0387322716414928,0.0377336852252483,0.005389988888055,0.0200925599783658,0.0542104691267013,184.0,188.0,164.0,182.24095153808597,186.1031494140625,163.08775329589844,0.9752252252252251,1332,1299,34.51993462657647,28.973423098801685,37.0981144697865,33.474179222539966,2.4968192553663657
